code,name,cur_price,off_52w_high_pct,market_val,volume_20d,change_rate_15d
SECZ,Securitize,13.0,-7.473,2122453905.0,65603021.0,101.238
HUT,Hut 8,106.61,-24.282,13140691883.48,95207816.0,35.567
ACVA,ACV Auctions,10.45,-0.476,1774493391.0,259252143.0,48.648
DOCN,DigitalOcean,146.0,-22.133,17166614300.0,55814539.0,31.899
MRNA,Moderna,182.56,-2.478,72884503895.84,366188862.0,30.084
BE,Bloom Energy,276.53,-21.279,81445646989.38,328871690.0,34.042
SFTBY,SoftBank Group (ADR),22.1,-23.714,251892427584.2,72680673.0,36.842
RIOT,Riot Platforms,24.93,-17.777,9355205249.55,312839847.0,31.245
IOVA,Iovance Biotherapeutics,10.64,-3.096,4819616036.48,263673197.0,30.232
AMD,Advanced Micro Devices,623.77,-0.12,1018288956948.34,423048149.0,32.514
SMTC,Semtech,174.33,-8.555,16269456380.58,78984144.0,31.114
SWKS,Skyworks Solutions,89.96,-2.535,13536531468.72,163947959.0,34.248
INTC,Intel,123.86,-12.989,650697341257.04,2069783878.0,38.375
GME,GameStop,24.03,-14.483,12123158789.7,173349626.0,30.739
