code,name,cur_price,off_52w_high_pct,market_val,volume_20d,change_rate_15d
PURR,Hyperliquid Strategies,11.61,-17.892,2296894501.17,381770713.0,70.484
HTFL,Heartflow,47.78,-6.661,4154644298.06,42244754.0,65.787
ARX,Accelerant Holdings,19.73,-8.994,4285130130.96,140311864.0,58.346
AMLX,Amylyx Pharmaceuticals,34.74,-15.556,3870836687.52,77871623.0,52.234
BRZE,Braze,34.53,-7.493,3889171530.57,49117491.0,30.105
AVAH,Aveanna Healthcare,13.32,-4.857,2907631897.56,73458394.0,40.358
ABCL,AbCellera Biologics,11.35,-9.776,3677937570.05,209059973.0,63.78
MRNA,Moderna,137.99,-21.889,55090560323.11,607013514.0,133.209
ESTC,Elastic,99.91,-7.49,10489678784.8,58117173.0,33.018
KURA,Kura Oncology,12.66,-8.92,1126241436.54,44516394.0,32.288
CRM,Salesforce,256.0,-4.387,210688000000.0,305908932.0,32.821
OMER,Omeros,18.61,-5.291,1347146560.76,48434960.0,40.452
ANF,Abercrombie & Fitch,148.42,-3.984,6594554398.2,42893733.0,31.788
