code,name,cur_price,off_52w_high_pct,market_val,volume_20d,change_rate_15d
EROC,ERock,17.4,-15.942,3817561392.0,53219229.0,62.464
P,Everpure,116.99,-1.531,38888052994.68,57268529.0,57.647
SHAZ,SharonAI Holdings,76.9,-21.112,2753289534.5,46204971.0,30.804
CHYM,Chime Financial,31.45,-5.866,11906501740.95,176587092.0,43.87
SNDK,SanDisk,1786.85,-24.105,261628791936.85,342042709.0,39.79
NBIS,NEBIUS,268.85,-10.341,73088275359.3,539333001.0,43.096
RBRK,Rubrik,101.02,-5.145,20792801737.32,57587064.0,35.017
UMAC,Unusual Machines,30.15,-13.675,1506188625.75,93709537.0,46.359
CRDO,Credo Technology,282.82,-8.374,52739679112.36,100661071.0,35.879
BLZE,Backblaze,19.39,-19.174,1200241000.0,59162195.0,57.514
NN,NextNav,19.2,-21.375,3241150272.0,61987747.0,51.419
AMPL,Amplitude,12.61,-7.142,1575191592.26,47388647.0,45.444
ZETA,Zeta Global,28.83,-3.546,7236722232.15,193896685.0,39.006
FIGS,FIGS Inc,14.32,-18.077,2379128265.44,69395206.0,44.209
AVAH,Aveanna Healthcare,12.69,-0.078,2769207942.24,53608268.0,31.23
PATH,UiPath,15.99,-19.405,8284743053.34,1414160627.0,37.607
OUST,Ouster,48.13,-24.549,3470766587.29,62620745.0,36.966
ABCL,AbCellera Biologics,11.2,-3.821,3629330465.6,189431827.0,113.333
U,Unity Software,45.45,-12.847,20002042004.85,246709249.0,49.31
PLTR,Palantir,172.55,-16.851,414647740724.0,933203113.0,31.186
FSLY,Fastly,29.04,-16.599,4626072000.0,128167869.0,44.91
ESTC,Elastic,83.44,-13.142,8673724257.52,41540317.0,36.25
REPL,Replimune,14.63,-6.844,1378433245.42,165621422.0,50.824
NESR,National Energy Services Reunited,35.78,-3.14,3608475758.12,43689506.0,33.159
LITE,Lumentum,968.9,-10.756,85844540000.0,104488711.0,36.089
APPS,Digital Turbine,12.24,-20.182,1481238900.0,85485044.0,42.491
TEAM,Atlassian,158.34,-13.945,40081999967.1,109415372.0,65.161
OMER,Omeros,17.36,-4.299,1256661165.76,47223245.0,53.086
TER,Teradyne,443.14,-9.175,69280839955.0,71799646.0,32.371
AEHR,Aehr Test Systems,145.61,-1.214,4749863724.5,53474161.0,87.932
