code,name,cur_price,off_52w_high_pct,market_val,volume_20d,change_rate_15d
P,Everpure,112.0,-5.961,37229352384.0,59855195.0,61.732
NIQ,NIQ Global Intelligence,18.31,-2.085,5400641869.84,40126652.0,52.965
CHYM,Chime Financial,33.07,-1.017,12519809620.77,191934623.0,47.502
RBRK,Rubrik,99.78,-6.309,20537574315.48,60198869.0,38.756
UMAC,Unusual Machines,28.3,-18.972,1413769091.5,99163598.0,63.962
CRDO,Credo Technology,234.82,-23.925,43788740008.36,104505167.0,32.33
AMLX,Amylyx Pharmaceuticals,38.6,-1.202,4300929652.8,68556533.0,95.641
AMPL,Amplitude,12.83,-5.522,1602673126.78,47872665.0,44.319
ZETA,Zeta Global,28.79,-3.68,7226681687.95,190235527.0,30.389
FIGS,FIGS Inc,14.49,-17.105,2407372106.58,68100201.0,37.215
AVAH,Aveanna Healthcare,13.16,0.0,2871771199.36,58215455.0,34.974
ABCL,AbCellera Biologics,12.01,-1.152,3891808829.63,200750714.0,122.82
U,Unity Software,47.11,-9.664,20732589633.63,252317565.0,47.034
PLTR,Palantir,175.19,-15.579,420991815111.2,935667778.0,42.43
TXG,10x Genomics,62.19,-0.272,8102807737.92,61451371.0,34.261
PSNL,Personalis,15.81,-3.538,1688505976.32,56141339.0,34.782
MRNA,Moderna,174.38,-1.29,69618754323.82,302857384.0,220.022
ESTC,Elastic,87.34,-9.082,9079135626.22,44447366.0,35.536
REPL,Replimune,14.81,-5.698,1395392779.54,162948564.0,176.822
SLS,Sellas Life Sciences,13.85,-12.764,2796948069.65,120570999.0,37.128
SVM,Silvercorp Metals,12.61,-19.957,2789411556.49,53024967.0,38.116
SSRM,SSR Mining,35.38,-3.016,7214311458.56,61363071.0,41.596
NESR,National Energy Services Reunited,33.545,-9.19,3383072087.93,43722184.0,37.423
WPM,Wheaton Precious Metals,147.43,-10.678,66956804082.24,42628742.0,34.75
LITE,Lumentum,827.6,-23.771,74235720000.0,106991007.0,37.395
FSM,Fortuna Silver Mines,11.63,-16.028,3441984410.81,120370269.0,38.948
SKM,SK Telecom,38.74,-17.887,14871826078.72,50836241.0,30.701
ENTG,Entegris,144.28,-22.754,22045984000.0,56719823.0,34.828
TEAM,Atlassian,174.23,-5.309,44104375737.45,114072888.0,67.079
OMER,Omeros,18.39,-2.646,1331221131.24,49405872.0,57.583
EGO,Eldorado Gold,41.76,-17.734,10912717478.88,53652746.0,30.622
HMY,Harmony Gold Mining,21.09,-17.48,13177770002.37,55044114.0,35.801
AEM,Agnico Eagle,207.72,-18.215,105182109550.08,61284871.0,43.82
IAG,Iamgold,19.72,-20.707,11260120000.0,122279670.0,41.564
AU,AngloGold Ashanti,108.54,-13.497,54896195046.24,52421297.0,39.386
CDE,Coeur Mining,20.93,-24.546,21514679508.14,777784448.0,43.062
NEM,Newmont,125.08,-6.861,131795829256.68,146016305.0,36.938
