code,name,cur_price,off_52w_high_pct,market_val,volume_20d,change_rate_15d
EROC,ERock,16.72,-19.227,3668369337.6,49485853.0,52.694
P,Everpure,118.16,-0.547,39276966765.12,56005400.0,58.476
CHYM,Chime Financial,32.02,-4.16,12122295254.22,178606092.0,54.76
SAIL,SailPoint,19.53,-18.625,11077083931.41,65045375.0,30.635
NBIS,NEBIUS,277.68,-7.396,75488756934.24,536512298.0,47.883
RBRK,Rubrik,102.23,-4.009,21041854302.18,55871648.0,39.582
UMAC,Unusual Machines,34.06,-2.48,1701518560.3,87219039.0,75.929
BRZE,Braze,28.93,-22.496,3258434184.17,43700000.0,32.95
BLZE,Backblaze,19.02,-20.716,1177338000.0,58818438.0,63.824
NN,NextNav,19.895,-18.529,3358473159.45,62766373.0,59.927
GTLB,Gitlab,42.62,-18.633,7198518000.0,86727079.0,36.253
AMPL,Amplitude,13.03,-4.05,1627656339.98,47141130.0,60.864
ZETA,Zeta Global,29.05,-2.81,7291945225.25,192738084.0,51.855
FIGS,FIGS Inc,14.69,-15.961,2440600154.98,69888123.0,54.468
AVAH,Aveanna Healthcare,12.32,-1.597,2688466654.72,51491922.0,30.37
PATH,UiPath,16.01,-19.304,8295105458.66,1512324916.0,47.693
OUST,Ouster,48.71,-23.64,3512591740.43,62862109.0,43.096
ABCL,AbCellera Biologics,11.38,-1.043,3687658990.94,187953531.0,114.312
ABNB,Airbnb,184.06,-1.635,110212492628.92,99145851.0,30.446
CRSR,Corsair Gaming,12.99,-13.272,1405218697.41,45089256.0,31.878
U,Unity Software,46.25,-11.313,20354113151.25,243710316.0,61.6
PLTR,Palantir,174.04,-16.133,418228297859.2,939183548.0,41.588
MGNI,Magnite,24.73,-7.204,3546879402.61,58063462.0,33.603
FBRX,Forte Biosciences,76.83,-0.479,1631030754.21,45264217.0,40.251
QMCO,Quantum,26.11,-6.078,1028995126.11,44977201.0,135.225
FSLY,Fastly,29.93,-14.043,4767849000.0,125961217.0,47.875
REPL,Replimune,14.97,-4.68,1403101588.17,165599764.0,43.116
NESR,National Energy Services Reunited,36.31,-1.385,3661927187.74,43367414.0,31.462
SHOP,Shopify,154.32,-15.297,198554891586.24,234192259.0,35.665
APPS,Digital Turbine,12.44,-18.878,1505442150.0,85638828.0,47.218
RNG,RingCentral,64.49,-5.785,5385312387.38,52776802.0,33.763
FIVN,Five9,33.0,-4.569,2465876523.0,74602935.0,42.733
TNDM,Tandem Diabetes Care,22.72,-23.372,1580828223.04,44476055.0,32.71
LPTH,LightPath Technologies,15.17,-19.904,1006693442.19,54891391.0,40.073
CAKE,Cheesecake Factory,113.38,-4.288,5641860682.92,40354524.0,34.191
WDAY,Workday,198.68,-20.48,49073960000.0,104254044.0,46.8
TEAM,Atlassian,162.22,-11.836,41166222573.64,109190732.0,86.717
OMER,Omeros,17.19,-5.237,1244355152.04,45802398.0,75.587
AEHR,Aehr Test Systems,134.06,-9.05,4373097527.0,54328189.0,75.655
HRB,H&R Block,53.92,-8.096,6834910361.44,53551867.0,32.059
