code,name,cur_price,off_52w_high_pct,market_val,volume_20d,change_rate_15d
P,Everpure,108.9,-8.564,36198897094.8,65899002.0,30.045
PURR,HYPERLIQUID STRATEGIES INC,11.56,-4.462,2318516267.96,315302972.0,69.501
HTFL,Heartflow,48.94,-4.395,4255510505.38,40957942.0,80.125
ARX,Accelerant Holdings,19.67,-9.271,4272098817.84,147306926.0,60.44
AMLX,Amylyx Pharmaceuticals,37.08,-9.868,4131566619.84,79905923.0,69.702
FIGS,FIGS Inc,15.22,-12.929,2528654483.24,67444164.0,39.377
AVAH,Aveanna Healthcare,13.62,-2.575,2973119102.46,70488478.0,45.98
ABCL,AbCellera Biologics,12.24,-2.08,3966339723.12,208279077.0,106.756
TXG,10x Genomics,64.26,-4.003,8372510455.68,66151868.0,35.398
MRNA,Moderna,149.66,-15.283,59749643147.74,568422475.0,166.038
REPL,Replimune,15.88,-0.687,1496207787.92,136640911.0,34.234
SSRM,SSR Mining,38.09,-3.386,7766905694.08,61718978.0,31.468
KURA,Kura Oncology,13.06,-6.043,1161825684.14,42913869.0,41.956
NOG,Northern Oil & Gas,26.02,-13.248,2772408310.56,46238577.0,31.613
TEAM,Atlassian,168.47,-8.44,42646296163.05,106517526.0,48.667
OMER,Omeros,18.22,-7.275,1318915117.52,48174995.0,44.031
EGO,Eldorado Gold,46.96,-7.491,12271580766.48,59962470.0,30.444
IAG,Iamgold,21.54,-13.389,12299340000.0,125392823.0,35.556
AU,AngloGold Ashanti,118.11,-5.278,59736406826.16,64874668.0,34.145
