code,name,cur_price,off_52w_high_pct,market_val,volume_20d,change_rate_15d
PURR,Hyperliquid Strategies,12.77,-9.688,2526386113.69,473197591.0,87.243
HTFL,Heartflow,49.71,-3.993,4322464798.17,46903531.0,60.303
CNH,CNH Industrial,13.84,-0.359,22256917016.96,472569090.0,33.205
AMLX,Amylyx Pharmaceuticals,33.96,-17.452,3783926710.08,75495393.0,51.067
MRNA,Moderna,148.87,-15.73,59434246795.43,661289103.0,133.888
KURA,Kura Oncology,13.15,-5.395,1169832139.85,47071491.0,30.327
CRM,Salesforce,264.43,-1.431,217625890000.0,329571449.0,31.315
ANF,Abercrombie & Fitch,143.54,-7.141,6377727653.4,46167509.0,31.905
