code,name,cur_price,off_52w_high_pct,market_val,volume_20d,change_rate_15d
SECZ,Securitize,14.36,-3.429,2344495236.6,72772666.0,129.76
SEI,Solaris Energy Infrastructure,67.43,-21.611,5162871812.56,54624506.0,36.105
RBRK,Rubrik,115.57,-0.473,23958173321.81,80171005.0,30.735
ACVA,ACV Auctions,10.43,-0.666,1771097231.4,271590319.0,54.289
SDGR,Schrodinger,29.23,-7.484,2186568506.44,41775584.0,40.259
FSLY,Fastly,29.65,-14.847,4723245000.0,143284017.0,42.753
RIOT,Riot Platforms,24.69,-18.568,9265143105.15,313064287.0,38.785
AMD,Advanced Micro Devices,614.61,-1.613,1003335485563.62,420384911.0,33.724
SWKS,Skyworks Solutions,91.45,-1.454,13760735913.9,164030092.0,35.662
INTC,Intel,122.6,-13.874,644077943146.4,2073551113.0,37.799
