code,name,cur_price,off_52w_high_pct,market_val,volume_20d,change_rate_15d
PURR,Hyperliquid Strategies,11.32,-19.943,2239521598.04,441698924.0,67.703
HTFL,Heartflow,50.0,-3.433,4347681350.0,45904321.0,67.504
ARX,Accelerant Holdings,19.7,-3.925,4278614474.4,139957729.0,44.746
AMLX,Amylyx Pharmaceuticals,34.49,-16.164,3842980925.52,77476570.0,47.708
AVAH,Aveanna Healthcare,13.2,-5.714,2881437015.6,75951531.0,45.856
MRNA,Moderna,150.81,-14.632,60208764420.09,653639030.0,136.861
KURA,Kura Oncology,13.11,-5.683,1166273715.09,46437608.0,31.891
CRM,Salesforce,256.93,-4.04,211453390000.0,326831255.0,32.903
OMER,Omeros,18.86,-4.018,1365243639.76,48949507.0,37.563
