code,name,cur_price,off_52w_high_pct,market_val,volume_20d,change_rate_15d
PURR,Hyperliquid Strategies,12.25,-13.366,2423510563.25,414146306.0,85.606
HTFL,Heartflow,50.39,-1.562,4381593264.53,43996432.0,71.686
ARX,Accelerant Holdings,19.73,-3.779,4285130130.96,139661382.0,63.87
AMLX,Amylyx Pharmaceuticals,33.75,-17.963,3760527870.0,78915023.0,48.875
AVAH,Aveanna Healthcare,13.42,-4.142,2929460965.86,75687162.0,41.86
MRNA,Moderna,140.34,-20.559,56028764662.26,620407507.0,134.643
CRM,Salesforce,257.54,-3.812,211955420000.0,315472397.0,30.393
OMER,Omeros,18.79,-4.375,1360176457.64,48319383.0,37.958
