code,name,cur_price,off_52w_high_pct,market_val,volume_20d,change_rate_15d
P,Everpure,109.98,-7.657,36557894421.36,61215235.0,46.522
PURR,HYPERLIQUID STRATEGIES INC,10.08,-13.253,2021682005.28,235377426.0,60.0
NIQ,NIQ Global Intelligence,18.15,-2.941,5353448931.6,40872803.0,59.49
CHYM,Chime Financial,31.95,-5.319,12095794296.45,195574602.0,41.371
RBRK,Rubrik,97.52,-8.431,20072401756.32,61177443.0,36.239
AMLX,Amylyx Pharmaceuticals,39.66,-1.925,4419038083.68,76281272.0,91.132
AMPL,Amplitude,12.93,-4.786,1615164733.38,45459753.0,50.174
ZETA,Zeta Global,27.85,-6.825,6990728899.25,190717709.0,30.322
FIGS,FIGS Inc,14.41,-17.562,2394080887.22,66357308.0,37.368
AVAH,Aveanna Healthcare,12.97,-3.172,2830309457.12,59406804.0,33.849
ABCL,AbCellera Biologics,11.57,-4.773,3749227989.91,204039970.0,103.339
U,Unity Software,46.54,-10.757,20481738941.82,256653329.0,39.592
PLTR,Palantir,173.96,-16.171,418036053180.8,932928298.0,42.286
PSNL,Personalis,16.88,-1.054,1802781839.36,66604115.0,37.459
MRNA,Moderna,133.32,-24.533,53226128721.48,397661737.0,130.179
ESTC,Elastic,85.9,-10.581,8929445274.7,44499017.0,33.696
REPL,Replimune,14.05,-10.538,1323785857.7,165618443.0,159.704
SLS,Sellas Life Sciences,13.4,-15.598,2706072500.6,122817978.0,30.223
SVM,Silvercorp Metals,12.64,-19.766,2796047745.76,53667058.0,31.12
SSRM,SSR Mining,36.83,-0.392,7509979960.96,63302545.0,38.173
WPM,Wheaton Precious Metals,150.25,-8.957,68237535192.0,43704801.0,32.694
FSM,Fortuna Silver Mines,11.9,-14.079,3521892905.3,120537445.0,35.689
TEAM,Atlassian,174.91,-4.94,44276510131.65,115428516.0,78.261
GFI,Gold Fields,45.45,-24.235,40651322643.0,73277314.0,35.55
OMER,Omeros,18.63,-1.376,1348594327.08,49510107.0,56.16
MRVL,Marvell Technology,251.01,-23.889,219826129837.23,476828607.0,36.939
EGO,Eldorado Gold,42.65,-15.981,11145292156.95,54119294.0,30.268
HMY,Harmony Gold Mining,22.02,-13.841,13758866545.86,55537432.0,36.346
AEM,Agnico Eagle,212.04,-16.514,107369605762.56,64223911.0,40.656
IAG,Iamgold,20.5,-17.571,11705500000.0,123181291.0,40.796
AU,AngloGold Ashanti,115.14,-7.708,58234272135.84,55378312.0,40.203
CDE,Coeur Mining,21.11,-23.897,21699707807.78,762602497.0,37.077
KGC,Kinross Gold,31.43,-19.204,37283547998.27,163400117.0,33.243
NEM,Newmont,127.64,-4.954,134493281470.44,148459834.0,33.291
