code,name,cur_price,off_52w_high_pct,market_val,volume_20d,change_rate_15d
PURR,Hyperliquid Strategies,11.355,-19.695,2246445913.935,430934926.0,72.831
HTFL,Heartflow,50.43,-1.484,4385071409.61,45059487.0,70.717
ARX,Accelerant Holdings,19.78,-3.535,4295989558.56,139736079.0,57.987
AMLX,Amylyx Pharmaceuticals,33.81,-17.817,3767213252.88,77310320.0,43.08
AVAH,Aveanna Healthcare,13.46,-3.857,2938192593.18,75926243.0,50.391
MRNA,Moderna,154.27,-12.674,61590120596.03,642239107.0,154.697
CRM,Salesforce,258.11,-3.599,212424530000.0,322042998.0,30.708
OMER,Omeros,18.75,-4.578,1357280925.0,48715780.0,37.867
