code,name,cur_price,off_52w_high_pct,market_val,volume_20d,change_rate_15d
PURR,HYPERLIQUID STRATEGIES INC,10.64,-8.433,2133997672.24,284525965.0,61.702
HTFL,Heartflow,50.2,-1.278,4365072075.4,40046469.0,87.593
ARX,Accelerant Holdings,19.66,-9.317,4269926932.32,156412567.0,63.56
NIQ,NIQ Global Intelligence,19.18,-0.415,5657253471.52,40606624.0,65.916
CHYM,Chime Financial,32.7,-3.096,12379733129.7,199801153.0,34.789
RBRK,Rubrik,98.04,-7.943,20179432610.64,61985457.0,31.174
AMLX,Amylyx Pharmaceuticals,38.15,-7.267,4250789281.2,80424802.0,89.142
AMPL,Amplitude,13.15,-3.166,1642646267.9,45828192.0,38.13
FIGS,FIGS Inc,15.21,-12.986,2526993080.82,68096348.0,39.797
AVAH,Aveanna Healthcare,13.7,-2.002,2990582357.1,68283192.0,42.559
ABCL,AbCellera Biologics,10.61,-12.674,3438142521.43,204683039.0,81.989
U,Unity Software,46.16,-11.486,20314505147.28,261920213.0,38.286
PLTR,Palantir,175.89,-15.241,422673956047.2,951234757.0,39.984
TXG,10x Genomics,63.8,-2.55,8312576518.4,63907353.0,35.715
MRNA,Moderna,138.89,-21.38,55449872623.21,507096847.0,151.886
SVM,Silvercorp Metals,12.65,-19.703,2798259808.85,55411616.0,32.322
SSRM,SSR Mining,38.61,-0.489,7872938536.32,63948467.0,43.187
WPM,Wheaton Precious Metals,160.19,-2.934,72751885273.92,46804413.0,43.395
FSM,Fortuna Silver Mines,12.19,-11.985,3607720547.53,119128424.0,40.599
HALO,Halozyme Therapeutics,108.64,-0.421,12330422720.0,49146913.0,32.052
TEAM,Atlassian,171.33,-6.885,43370273173.95,110995241.0,65.201
GFI,Gold Fields,47.33,-21.101,42332829498.2,75911345.0,39.369
OMER,Omeros,19.32,-1.327,1398542265.12,49358861.0,53.821
EGO,Eldorado Gold,46.37,-8.653,12117402047.31,58493428.0,44.454
HMY,Harmony Gold Mining,22.81,-10.75,14252486190.33,60200396.0,38.494
AEM,Agnico Eagle,217.89,-14.211,110331840216.96,69615070.0,47.802
IAG,Iamgold,21.8,-12.344,12447800000.0,128381669.0,47.796
AU,AngloGold Ashanti,120.47,-3.385,60930022270.32,62168026.0,48.545
CDE,Coeur Mining,20.88,-24.726,21463282758.24,785025700.0,34.19
KGC,Kinross Gold,32.98,-15.22,39122221221.22,175315244.0,40.948
NEM,Newmont,131.84,-1.827,138918789008.64,151078858.0,38.24
