code,name,cur_price,off_52w_high_pct,market_val,volume_20d,change_rate_15d
PURR,Hyperliquid Strategies,12.83,-9.264,2573232155.53,352871194.0,92.353
HTFL,Heartflow,48.1,-6.036,4182469458.7,41537114.0,76.903
ARX,Accelerant Holdings,19.69,-9.178,4276442588.88,145088436.0,60.211
ALM,Almonty Industries,18.89,-22.613,5449401367.5,142050228.0,40.76
AMLX,Amylyx Pharmaceuticals,37.18,-9.625,4142708924.64,78342310.0,53.699
BRZE,Braze,34.09,-8.672,3839613596.21,51155195.0,32.594
AMPL,Amplitude,14.28,-0.314,1783801422.48,44503537.0,32.59
FIGS,FIGS Inc,15.1,-13.615,2508717654.2,66312983.0,34.341
AVAH,Aveanna Healthcare,13.82,-1.285,3016777239.06,72970616.0,48.442
PATH,UiPath,18.33,-7.61,9497144475.78,1332610698.0,30.928
ABCL,AbCellera Biologics,12.4,-1.43,4018187301.2,208210409.0,89.892
TXG,10x Genomics,64.85,-3.122,8449382244.8,66224668.0,42.214
MRNA,Moderna,142.77,-19.183,56998907872.53,588957453.0,165.076
SLS,Sellas Life Sciences,15.21,-4.198,3071594233.89,135936727.0,30.0
SSRM,SSR Mining,39.01,-1.052,7954502261.12,59738629.0,35.72
KURA,Kura Oncology,13.18,-5.179,1172500958.42,43875930.0,42.025
FSM,Fortuna Silver Mines,12.81,-7.509,3791214127.47,117303344.0,33.995
CRM,Salesforce,252.05,-5.862,206428950000.0,281237734.0,34.952
TEAM,Atlassian,185.62,-0.059,46987626840.3,108646397.0,68.485
OMER,Omeros,19.25,-2.034,1393475083.0,48600517.0,46.387
EGO,Eldorado Gold,48.03,-5.383,12551193019.89,59267979.0,33.676
ANF,Abercrombie & Fitch,145.75,-5.712,6475921732.5,41239042.0,31.924
IAG,Iamgold,21.54,-13.389,12299340000.0,124785424.0,34.373
AU,AngloGold Ashanti,118.4,-5.045,59883079910.4,64611021.0,36.025
CDE,Coeur Mining,22.21,-19.931,22830436305.58,814517027.0,41.916
