code,name,cur_price,off_52w_high_pct,market_val,volume_20d,change_rate_15d
EROC,ERock,15.66,-24.347,3435805252.8,46938124.0,31.265
P,Everpure,117.35,-1.228,39007718770.2,54812114.0,56.071
NAVN,Navan,29.71,-0.933,7556181794.02,53035536.0,33.648
CHYM,Chime Financial,32.18,-3.681,12182868871.98,181089668.0,55.009
SAIL,SailPoint,19.99,-16.708,11337988110.03,66057125.0,39.643
RBRK,Rubrik,105.09,-0.18,21630524000.94,55661544.0,44.692
TPG,TPG Inc,55.21,-18.779,21229610288.09,57285028.0,31.805
IOT,Samsara,41.14,-13.334,23972692773.48,109923062.0,30.644
BRZE,Braze,29.87,-19.978,3364307953.03,44082380.0,40.763
BLZE,Backblaze,20.43,-14.839,1264617000.0,59750673.0,60.109
NN,NextNav,19.51,-20.106,3293481344.1,68409070.0,54.229
GTLB,Gitlab,43.35,-17.239,7321815000.0,85655860.0,43.448
AMPL,Amplitude,13.3,-0.187,1661383677.8,45580652.0,65.217
S,SentinelOne,23.84,-0.459,8172440756.32,127126975.0,37.169
ZETA,Zeta Global,29.62,-0.903,7435022980.1,197305429.0,52.837
FIGS,FIGS Inc,14.84,-15.102,2465521191.28,72703122.0,60.606
PCOR,Procore Technologies,62.17,-24.473,9447063363.46,78462359.0,51.338
PATH,UiPath,16.68,-15.927,8642246036.88,1552664830.0,63.529
ABCL,AbCellera Biologics,10.97,-0.858,3363527782.02,179807827.0,93.474
ABNB,Airbnb,185.13,-1.063,110853193308.66,100863212.0,34.571
CRSR,Corsair Gaming,13.45,-10.201,1454980098.55,45105855.0,33.432
U,Unity Software,45.79,-12.195,20151672242.07,240364012.0,58.223
PLTR,Palantir,179.01,-13.738,430171498504.8,946992773.0,45.1
MGNI,Magnite,24.58,-7.767,3525365779.06,56529310.0,37.165
FSLY,Fastly,30.02,-13.785,4782186000.0,135074731.0,54.503
ZM,Zoom Communications,109.84,-4.27,32208626825.12,61638905.0,30.59
REPL,Replimune,15.19,-3.279,1423721651.59,166764101.0,41.302
TWLO,Twilio,249.42,-3.457,38304731372.4,49020457.0,34.777
SHOP,Shopify,158.53,-12.986,203971662539.96,235137708.0,41.544
APPS,Digital Turbine,12.62,-17.704,1527225075.0,85565743.0,57.16
RNG,RingCentral,67.78,-0.978,5660047660.36,53082653.0,75.862
FIVN,Five9,33.8,-2.255,2525655347.8,74762382.0,55.438
TNDM,Tandem Diabetes Care,23.13,-21.989,1609355492.91,44889616.0,36.863
CAKE,Cheesecake Factory,111.88,-5.554,5567219731.92,40614590.0,32.823
WDAY,Workday,206.45,-17.37,50993150000.0,101666320.0,61.453
TEAM,Atlassian,165.98,-9.793,42120389734.76,108225926.0,107.086
EXLS,ExlService,35.37,-21.53,5362534089.63,52072470.0,31.584
CBZ,CBIZ Inc,54.6,-18.798,2962807793.4,42484917.0,35.652
OMER,Omeros,17.35,-4.355,1255937282.6,43321956.0,68.774
SAP,SAP SE,209.28,-24.321,241550976000.0,69812703.0,42.97
AEHR,Aehr Test Systems,123.3,-7.536,4022101485.0,56096475.0,39.306
MSFT,Microsoft,496.88,-9.696,3689605043568.08,771875863.0,30.216
HRB,H&R Block,53.34,-9.084,6761389441.38,51889582.0,33.516
