code,name,cur_price,off_52w_high_pct,market_val,volume_20d,change_rate_15d
SECZ,Securitize,13.5,-3.914,2204086747.5,61937958.0,114.626
SEI,Solaris Energy Infrastructure,69.09,-19.682,5289972023.28,54867106.0,38.757
ACVA,ACV Auctions,10.48,-0.19,1779587630.4,257486498.0,46.368
DOCN,DigitalOcean,146.16,-22.048,17185427028.0,55799662.0,31.427
AMD,Advanced Micro Devices,615.52,-0.189,1004821037851.84,411367495.0,32.204
SMTC,Semtech,177.37,-6.96,16553166283.62,77879945.0,35.221
SWKS,Skyworks Solutions,88.74,-3.856,13352954674.68,163086157.0,34.883
INTC,Intel,121.78,-14.45,639770080883.92,2058307878.0,36.112
