code,name,cur_price,off_52w_high_pct,market_val,volume_20d,change_rate_15d
PURR,HYPERLIQUID STRATEGIES INC,11.87,-1.9,2380691012.17,304838491.0,74.302
HTFL,Heartflow,49.89,-2.539,4338116451.03,40306187.0,82.881
ARX,Accelerant Holdings,19.67,-9.271,4272098817.84,149724504.0,61.626
ALM,Almonty Industries,18.93,-22.449,5460940597.5,152405565.0,42.545
CHYM,Chime Financial,33.1,-1.911,12531167174.1,198312483.0,32.665
RUM,RUM Group,10.23,-3.445,5072138284.62,82758670.0,59.097
AMLX,Amylyx Pharmaceuticals,37.46,-8.945,4173907378.08,79161322.0,71.284
AMPL,Amplitude,13.11,-3.46,1637649625.26,45316776.0,32.692
FIGS,FIGS Inc,14.68,-16.018,2438938752.56,69149262.0,35.299
AVAH,Aveanna Healthcare,13.59,-2.789,2966570381.97,69627467.0,45.192
ABCL,AbCellera Biologics,12.5,0.0,4050592037.5,209300097.0,105.254
TXG,10x Genomics,64.72,-3.316,8432444392.96,65463658.0,35.227
MRNA,Moderna,158.83,-10.092,63410636249.87,550764711.0,178.698
REPL,Replimune,15.8,-0.566,1488670217.2,158286108.0,32.55
SSRM,SSR Mining,39.21,-0.545,7995284123.52,63825593.0,47.656
WPM,Wheaton Precious Metals,163.72,-0.795,74355069960.96,47732277.0,42.047
KURA,Kura Oncology,13.59,-2.23,1208974812.21,41996387.0,43.505
FSM,Fortuna Silver Mines,12.45,-10.108,3684669468.15,119825450.0,37.569
HALO,Halozyme Therapeutics,109.32,-0.209,12407601360.0,48121463.0,31.346
TEAM,Atlassian,166.49,-9.516,42145081309.35,107865230.0,50.929
GFI,Gold Fields,48.87,-18.533,43710234049.8,76605695.0,43.271
OMER,Omeros,19.28,-1.881,1395646732.48,48451947.0,48.995
EGO,Eldorado Gold,48.14,-5.166,12579938204.82,59272019.0,51.288
HMY,Harmony Gold Mining,22.95,-10.202,14339963089.35,62618878.0,35.959
AEM,Agnico Eagle,224.11,-11.762,113481429671.04,70940360.0,48.801
IAG,Iamgold,22.17,-10.856,12659070000.0,126722271.0,49.797
AU,AngloGold Ashanti,123.39,-1.044,62406868497.84,63290784.0,52.351
CDE,Coeur Mining,21.59,-22.166,22193116606.82,802541621.0,33.189
KGC,Kinross Gold,33.48,-13.819,39715341615.72,178821118.0,42.244
NEM,Newmont,135.14,-0.11,142395973502.94,152403899.0,38.278
