code,name,cur_price,off_52w_high_pct,market_val,volume_20d,change_rate_15d
P,Everpure,108.55,-8.858,36082555368.6,62432616.0,40.663
PURR,HYPERLIQUID STRATEGIES INC,10.58,-8.95,2121963850.78,263747133.0,70.37
NIQ,NIQ Global Intelligence,18.78,-0.529,5539271125.92,40870348.0,68.128
ALM,Almonty Industries,18.51,-24.17,5339778682.5,156677798.0,67.359
CHYM,Chime Financial,32.78,-2.859,12410019938.58,197091941.0,42.583
RBRK,Rubrik,100.09,-6.018,20601381170.94,61911491.0,38.322
AMLX,Amylyx Pharmaceuticals,38.66,-6.028,4307615035.68,79291452.0,90.349
AMPL,Amplitude,13.29,-2.135,1660134517.14,45828127.0,49.662
ZETA,Zeta Global,29.07,-2.743,7296965497.35,191704536.0,34.583
FIGS,FIGS Inc,14.68,-16.018,2438938752.56,67233059.0,37.196
AVAH,Aveanna Healthcare,13.16,-3.27,2871771199.36,64866880.0,40.149
ABCL,AbCellera Biologics,11.32,-6.831,3668216149.16,202321825.0,98.248
U,Unity Software,46.93,-10.009,20653373625.69,259475217.0,47.997
PLTR,Palantir,179.94,-13.29,432406342891.2,952827489.0,46.221
TXG,10x Genomics,65.12,-0.534,8484560860.16,62273864.0,37.761
PSNL,Personalis,18.38,-2.699,1962981647.36,71705564.0,45.181
MRNA,Moderna,145.13,-17.847,57941104570.57,480550030.0,164.739
ESTC,Elastic,85.94,-10.539,8933603340.02,44954969.0,30.627
REPL,Replimune,14.77,-5.953,1391623994.18,164795745.0,31.874
SLS,Sellas Life Sciences,15.46,-2.623,3122080661.14,131331073.0,54.445
SVM,Silvercorp Metals,12.53,-20.464,2771715051.77,54514399.0,33.867
SSRM,SSR Mining,37.77,-1.64,7701654714.24,64704632.0,47.562
WPM,Wheaton Precious Metals,157.78,-4.394,71657359751.04,45208645.0,44.904
FSM,Fortuna Silver Mines,12.07,-12.851,3572205661.09,119403945.0,43.179
HBM,Hudbay Minerals,30.06,-6.474,13350991485.6,103616721.0,32.131
HALO,Halozyme Therapeutics,108.17,-0.294,12277078660.0,48491523.0,31.051
TEAM,Atlassian,171.81,-6.625,43491779805.15,114537277.0,70.083
GFI,Gold Fields,47.81,-20.3,42762150397.4,74831187.0,47.47
OMER,Omeros,19.27,-1.583,1394922849.32,51293690.0,62.753
EGO,Eldorado Gold,45.72,-9.933,11947544136.36,56314103.0,51.44
HMY,Harmony Gold Mining,23.54,-7.894,14708615735.22,57827175.0,49.46
AEM,Agnico Eagle,216.06,-14.931,109405192515.84,67840692.0,48.729
IAG,Iamgold,21.14,-14.997,12070940000.0,125637550.0,48.978
AU,AngloGold Ashanti,121.22,-2.784,61309349212.32,59607309.0,53.785
CDE,Coeur Mining,20.97,-24.402,21555796908.06,781548003.0,40.643
KGC,Kinross Gold,32.76,-15.785,38861248247.64,170866717.0,42.008
NEM,Newmont,131.58,-2.02,138644829018.18,149711801.0,40.411
